Gender,Department,Education,Income,Age,Experience
Male,Tech,High School,45044.91376110561,19.033745377087822,18.33989087267067
Female,Tech,High School,38700.3339715523,39.99442849816251,6.88602593503231
Male,Sales,Master,40841.94003721885,37.32067005240413,5.938735975870724
Male,HR,High School,50272.49061755962,21.958638309389322,12.203430235003653
Male,Sales,High School,47202.64341616272,35.319804624514646,3.7686404386783785
Male,HR,Bachelor,33652.09579839758,34.00655306198737,9.294178270082684
Male,HR,High School,35394.38670536469,35.72292176261266,16.437474775229465
Male,Sales,Bachelor,28962.89847677517,37.906792834687224,5.365192233539799
Male,Tech,High School,55827.46025905222,31.88989137648627,4.05410654278386
Male,Tech,High School,34637.08259766013,32.90942021087115,5.502456394126906
Male,Tech,High School,47085.356948551576,36.892322407389415,12.695078705040956
Female,Finance,High School,52707.81417469303,31.676029587219674,13.374330159957438
Male,Finance,Master,55399.544733095114,37.332108649520364,8.462233609064473
Male,Tech,High School,44584.41370097842,26.98702166942052,12.049637212003207
Male,HR,Bachelor,40450.36051965208,34.31574657179898,14.170765982535968
Male,Finance,High School,55807.08989127236,17.325258069895884,15.362039243289477
Male,Tech,High School,38782.04048722635,33.09340308775114,9.260994156460455
Male,Tech,Master,55217.96802263857,39.30183058245951,3.0955848469900396
Male,Finance,High School,46067.00931256844,33.933462806942394,7.5373632327709394
Male,Tech,Bachelor,48640.79993194823,39.755370809176085,8.719587415194226
Male,HR,PhD,32442.455959335774,24.25313677150519,9.223183610264828
Male,Tech,Bachelor,39967.53638592856,35.9778670221922,9.43642179697384
Male,Finance,Master,34553.9515937812,30.522816912505093,13.356683793792008
Male,Finance,High School,40186.72906404406,38.57288342700204,13.823285280062745
Male,Finance,High School,44166.33870316993,30.667691843489486,9.48497903822565
Male,Tech,High School,50091.23925835444,34.507278026762236,13.295454628155456
Male,Sales,Bachelor,35787.38028178014,13.276381285486703,11.072984099893269
Male,Sales,PhD,51231.6279206011,16.946917032581645,10.193517918587716
Male,Tech,High School,35416.016368626726,37.82504604716639,12.719632471329891
Male,Sales,Bachelor,32797.84487006394,32.98600624302148,10.216756144713747
Male,Tech,High School,41153.172650109984,37.71349594819722,16.173433531293288
Male,Tech,Bachelor,42509.0511622751,37.482974655947125,5.684766499616322
Male,Tech,High School,35448.504514512475,34.510197759754575,8.454487302723948
Female,Tech,PhD,29193.32919929967,40.125512603325284,9.62044330913815
Female,Tech,Bachelor,32140.131528781923,32.927445628763586,11.318358071373972
Male,HR,High School,42162.68908532532,35.95883433425936,13.803881461309267
Male,Tech,High School,34657.108959700185,31.514475160544897,9.92680429829153
Male,HR,High School,43678.06238385758,27.659981033578408,5.733311051481378
Male,Tech,High School,44572.74786848086,36.90236039206135,12.527541689365012
Male,Tech,High School,45659.22924037262,31.49076668285235,12.264876298425893
Male,Tech,Master,59909.13896853324,34.02340701678615,4.174424021861782
Male,Sales,Bachelor,45071.728387344,32.06462545094482,9.988587598987602
Male,Tech,Bachelor,52446.94260129231,36.90922421487642,5.229574507959106
Female,HR,High School,39814.904974408106,34.52864689456743,8.006046707493812
Male,Sales,Master,28301.22900750996,29.918000639174572,7.2915732191116005
Male,HR,Bachelor,53705.42791495695,25.533462926298895,12.427794094725957
Male,Tech,High School,43004.65182540061,30.76561577318708,10.350490522516552
Male,Tech,Bachelor,42762.03945427491,29.523214071598584,6.143226997731917
Male,Sales,Bachelor,36483.84597459484,26.935160125676404,12.640197888872027
Male,Tech,High School,30431.417200683183,31.031275009970003,5.698582528214757
Female,Sales,High School,40038.84973439428,33.69133647786085,10.99034137141283
Male,Tech,High School,33489.54927414097,28.87065825185341,7.557967992125333
Female,Finance,High School,37867.73784031882,30.61227339261194,8.90296875240844
Male,Sales,Master,34202.13604223566,36.65395545906326,11.512812244115151
Male,Finance,Master,55627.92357807858,39.81412719369134,11.564348197178587
Female,Tech,Bachelor,46227.61043405505,31.60435713392645,14.010907220667882
Male,Sales,High School,48378.94817325106,40.75629119517387,9.753238900985641
Male,Tech,High School,42572.5467657791,34.75356576875554,10.919352588890021
Male,Tech,Bachelor,41778.49002163695,34.37806094832342,8.686788032787026
Male,HR,Bachelor,44083.414134961546,32.69335764597984,10.545969647868393
Male,Sales,High School,41213.33641627715,34.021240672073986,11.318458144025534
Male,Finance,Bachelor,52352.8784230717,40.04337571270895,9.705070457636872
