cat_bin_balanced,cat_bin_moderate,cat_bin_severe,cat_multi_balanced,cat_multi_moderate,cat_multi_severe,cont_normal,cont_right_skew_1_2,cont_right_skew_gt1,cont_right_skew_gt5,cont_left_skew_1_2,cont_left_skew_gt1,cont_left_skew_gt5,cont_mild_right_skew_exp,cont_uniform
1,0,0,0,2,0,-0.017597929255638137,5.850161818261467,0.3961193525950496,0.15691054150032124,-5.850161818261467,-0.3961193525950496,-0.15691054150032124,1.4903712967565816,-0.9117097022153859
1,0,1,2,0,0,-0.6931869461424454,0.9101445644806019,1.2608733828901895,1.5898016876809502,-0.9101445644806019,-1.2608733828901895,-1.5898016876809502,0.029376547303584025,-0.16881160479658686
1,0,0,1,2,0,-0.17376238936216024,0.46254381319706867,1.8676542942845225,3.4881325629594175,-0.46254381319706867,-1.8676542942845225,-3.4881325629594175,1.089922259774401,0.5764380839994465
1,0,0,0,0,0,0.09217710752683304,2.900133713706079,1.5452395019310732,2.387765118328191,-2.900133713706079,-1.5452395019310732,-2.387765118328191,0.31365357574728703,-0.7025712120320036
0,0,0,2,0,0,-0.1511683806905494,0.6084249992099209,0.46342713471222813,0.2147647091875856,-0.6084249992099209,-0.46342713471222813,-0.2147647091875856,0.6338127757321149,-0.08010252612695035
1,1,0,3,1,0,-0.03135470067650179,0.34762437543484853,2.355626996256412,5.548978545492005,-0.34762437543484853,-2.355626996256412,-5.548978545492005,2.1550538884665706,0.9795384667648892
1,0,0,3,3,0,-1.4434467969368396,3.083218546477393,1.7527123951230985,3.0720007400181486,-3.083218546477393,-1.7527123951230985,-3.0720007400181486,0.8126187746648228,0.011840026849728735
0,0,0,2,0,0,-0.9626304750859512,2.447923556982673,1.75765188861694,3.0893401615586966,-2.447923556982673,-1.75765188861694,-3.0893401615586966,0.12456287724434693,-0.0033523517558189386
0,0,0,3,0,0,-0.14933523707149754,2.7127896394920112,1.8149357762952623,3.293991872076486,-2.7127896394920112,-1.8149357762952623,-3.293991872076486,0.49017639266915125,0.1175871674483362
1,0,0,3,0,0,-0.1652679700224367,2.4495394386668585,2.4192989078562444,5.853007205554417,-2.4495394386668585,-2.4192989078562444,-5.853007205554417,3.105339251024817,-0.6279912593345176
1,0,0,3,0,0,-0.5661892748600006,1.9843036651889836,6.015731270922397,36.1890227239536,-1.9843036651889836,-6.015731270922397,-36.1890227239536,2.2832388325068997,-0.7056722346281115
1,0,0,2,0,0,-0.17701358607643694,1.5368815759891588,0.6131200646603966,0.37591621368916894,-1.5368815759891588,-0.6131200646603966,-0.37591621368916894,1.5508762618729257,0.35470925823021693
1,0,0,2,1,0,0.06101485541420536,0.2997736948063757,1.0384912580876915,1.0784640931245562,-0.2997736948063757,-1.0384912580876915,-1.0784640931245562,0.13454356859666533,-0.20846638018845964
