gender,income,age,loan_amount,credit_score,loan_approved
Male,9020.751982281601,47.836819490363666,27946.251813256862,600.3884815781119,0
Female,11417.815053480172,75.74414513974071,18112.03936825399,678.4737297217573,0
Female,8842.008889065464,78.97761190236218,20549.892020791518,615.9366016866314,0
Female,9360.922618922817,69.38456871225034,41263.65983294213,631.1123769356602,0
Male,42940.923721870044,41.43386263229821,24943.961956255956,659.1214909213703,0
Male,21106.320523864484,33.00736792616084,42197.648291538135,760.7079308551547,0
Male,23187.226459068417,27.7962634692378,17182.911820476136,643.2647309802716,0
Female,14553.775971613702,52.52374327802228,27288.722864174146,699.4001068452427,0
Female,17707.356265817893,64.21793140248558,28065.906658801152,697.9362360661712,0
Female,18982.743322558978,62.21246371247099,28095.056842131595,612.3967412120644,0
Male,26930.980952316517,34.290596005073404,24129.424799222088,689.8440307075363,0
Female,9492.67891374692,58.11162795131703,5133.956292011968,615.9183756889238,0
Female,12178.770804543228,76.89143071659183,10003.89779345883,570.1019345283325,0
Male,30495.115558425456,40.291806606776746,25749.386652453763,603.3731877472414,0
Male,17984.63991847373,35.07946987989802,29777.429455402715,703.0982094034787,0
Male,22055.978398227624,38.38776534153873,8791.315316821525,738.6369351197629,0
Male,18680.094121236325,49.76227085996571,20194.668203828227,646.2398009683016,0
Female,14392.532608875617,67.11827557689526,23467.34394904726,612.7613245502853,0
Male,14567.2759878016,45.84230206873731,51121.47752619317,725.1650237588233,0
Male,29161.77520381349,28.163212154797698,20887.24590011518,640.1992937383052,0
Female,6333.853501468334,65.63312485206833,11461.85698093373,605.3162250032548,0
Male,44474.051379167795,50.51252210274222,15376.072921521767,737.6556428849852,0
Male,10363.660654520316,45.17028563190872,35940.389991622316,744.4229291693152,0
Male,47739.85348384007,28.356882256027905,16477.805425306466,740.3523500725066,0
Male,18198.690119690546,49.47730112734108,14379.090449917163,764.0882660586276,0
Female,12402.802770857616,69.93456030752448,49012.659425996426,650.8162660953647,0
Male,12788.106020529225,38.057291953640345,26795.054289956402,784.416201062525,0
Female,9288.562534129811,74.596196601403,30599.64914355518,721.4772610725375,0
Female,30898.549202876897,72.04169142369915,14947.305308247063,698.96695107612,0
Male,9038.39709214121,44.38546498827135,29060.34725415339,753.7387945773845,0
Female,8421.441224795937,65.79333091318017,19043.92035268113,645.3050668271862,0
Male,49392.852412567576,46.84904419795035,13675.493946395007,614.7894341480916,0
Male,19835.15669002973,46.50818996742949,26434.184936704623,743.6942734141744,0
Female,13453.111540815682,72.7122023174165,7559.323799233642,693.0542260075852,0
Female,16223.848494938835,51.91904434519145,29552.664202310436,748.1259995437739,0
Female,9427.5898740513,65.0114043486122,19643.58091033099,590.4586015040879,0
Male,5818.850545400489,48.21408323100274,21514.15210269908,765.46299072916,0
Male,94020.3632008976,40.04862254933591,11393.831859150543,779.1594422982762,0
Female,20314.30562747722,47.851818548622674,132842.59232636789,682.8821769824746,0
Male,18568.55239681238,37.84930736183993,15441.746265764177,637.6009680137213,0
Male,6746.280426201588,30.19721064703949,15752.54775969367,638.8456351228356,0
Male,26181.727453167325,39.896377579589995,28361.56028238247,658.6986991524292,0
Male,9261.716445571357,41.059722782595685,17564.405698325103,748.1508036263252,0
Female,22893.132144836458,56.157499000942224,39622.358616088335,661.2077381582859,0
Male,28196.11359076984,52.80655560882261,20894.069269846936,731.0447373675653,0
Female,8443.682099045618,69.04668168286491,37676.79418791907,709.2239944857663,0
Male,43156.15007513853,25.690590113782903,17000.88887489883,770.0457927165527,0
Female,11244.365973188316,68.57524090529097,15435.371589718245,634.6549943454805,0
Female,10109.060827046878,78.19212302892102,67419.8331490065,731.5645269556294,0
Male,22143.839761811367,61.51024372852497,28667.406862906275,688.163791726021,0
Female,21086.433971409955,58.758267219237645,30787.381770735665,719.9020887581628,0
Female,16005.1366338232,66.55911408345966,14935.913478283164,613.6948456020601,0
Female,11756.893401699985,71.83388252931496,5188.656048736166,739.7517058144333,0
Female,16414.895634391636,68.14554809176013,24475.69105817399,584.7578339771205,0
Female,11568.134029580522,75.50424220553342,15180.190960810394,584.666997473146,0
Female,15753.939190133786,73.1187985402657,13022.405457511999,651.6998723235836,0
Male,21488.02586833276,53.08918309356186,26100.53891333889,699.616360532497,0
Male,80456.56018792573,45.6559607975085,16504.49781514928,672.9613727067546,0
Male,23266.942077795014,30.41196145629239,47101.086233738184,622.963887865583,0
Male,17531.00764608273,47.40673914335724,32228.448722607667,699.0013569832735,0
Male,15089.055029307061,45.24107003183339,27183.26332497583,743.6829872345128,0
Male,58820.719531089,34.54726274418781,65844.1937077732,709.6432529736761,0
Female,8208.548982094771,66.02154709654444,6307.606337864657,759.5261741504805,0
Male,34240.40251853768,38.4242739877696,22304.427488469973,771.7150722132369,0
Male,15748.52043119381,37.78326527874899,29174.843152109355,656.3415420378125,0
Female,8958.205785970458,54.25051984633454,17188.691102323282,692.2533023689547,0
Male,40869.92806164636,15.718819430476007,15803.980175068473,678.5581299310368,0
Female,12394.491326259289,73.56073470235748,21141.512245882648,618.5878336207634,0
Male,17276.85066124707,47.13173242125601,17185.196959830057,744.791442033863,0
Female,8737.774574034747,63.46300748642244,5931.420342828615,696.5758403190459,0
Female,13992.10213455891,71.85007030401866,20767.29088672197,670.2824276288948,0
Male,32429.178969354565,49.646312551920374,60478.47462729934,653.6585726578937,0
Male,14870.551615430233,37.013998404566046,6827.260206134962,678.871186406528,0
Female,24247.22455204238,66.2764620755485,52040.625197232,675.7101949822943,0
Female,12588.989151729855,70.37250085738026,17661.3259575225,699.0741741667484,0
Female,14073.662541441938,66.2472018515941,21316.832428081183,753.1579874760994,0
Female,29948.625014801775,60.08906996359369,15772.342729482147,736.059957102331,0
Male,33990.03810477448,32.30685899145396,8406.35230831995,695.4005577193334,0
Male,23186.09438004351,41.35826834573822,26269.58658243286,720.4936865668328,0
Male,7868.124545982431,30.978190366318245,16343.16079142926,746.3921757472644,0
Female,18802.15811666702,63.573356951253665,16965.124355306856,639.2474733564881,0
Female,22397.377168444815,79.52415567794657,84206.95850426676,733.0123357252035,0
Male,21084.32994019972,44.052905451344,23680.701017420455,720.833734519858,0
Male,68430.04607775659,51.44649444219064,63162.00642502775,702.6772486100671,0
Male,25410.119614542233,39.65618069704137,33322.97227667091,651.453886434482,0
Male,13300.233441666684,62.20351794126492,6675.868006257752,717.5237878507489,0
Female,20787.883264668977,62.77843718489881,20583.131018037322,681.2715021029642,0
Female,13599.67035636339,63.65163378926649,5443.806541396573,746.2278754915624,0
Female,10031.868899490122,49.317235914621264,15092.805574499374,696.688271777479,0
Male,31205.218275158306,33.859156848774695,14976.189790161658,683.4621097362691,0
Male,45503.22075847384,45.19679700515977,22046.39822562543,578.9851081482897,0
Female,20125.455104997367,51.81794916715084,10644.623685099808,693.3078667892503,0
Female,11250.069092510124,68.89662518550745,20562.112799938674,690.9134816386148,0
Female,15155.960387003472,58.8397861316038,34562.3582791729,716.973494232309,0
Female,7914.791884859462,65.74729176307714,19637.036175827707,818.4592752426795,0
Male,82943.37287748333,41.18545891591736,13927.717411006495,687.2371137307143,0
Female,9766.139192746547,63.33887009038352,20324.815310814232,626.4043927533658,0
Male,13345.376811777622,46.4254984468059,23202.3986268864,666.3521661388115,0
Male,59382.08323067162,22.999350530820312,21160.744944870054,695.1719197428428,0
Male,76624.07114822726,41.84238080597684,11985.398935925057,646.8846742640872,0
