ID,Gender,Age,Score,Department,Hired
10,Female,30,88.19,Sales,No
50,Female,20,76.59,Tech,Yes
55,Female,40,70.11,Tech,Yes
197,Female,53,96.34,Sales,No
219,Female,56,60.03,Sales,No
282,Female,23,79.39,HR,No
308,Female,35,50.46,Tech,No
310,Female,29,73.28,Tech,Yes
337,Female,23,68.93,Tech,Yes
365,Female,36,74.41,Tech,No
366,Female,44,59.22,Tech,Yes
370,Female,51,75.5,HR,Yes
389,Female,41,82.18,Sales,Yes
398,Female,59,78.01,Tech,No
399,Female,32,88.61,Tech,No
401,Female,50,84.47,Tech,Yes
425,Female,46,71.97,Tech,Yes
426,Female,37,67.49,HR,Yes
488,Female,51,66.45,Finance,Yes
489,Female,52,76.17,Tech,No
534,Female,54,61.84,Tech,No
561,Female,47,59.97,HR,Yes
611,Female,24,80.13,Tech,Yes
634,Female,46,99.12,HR,Yes
644,Female,48,67.1,Tech,No
651,Female,46,92.12,Tech,Yes
700,Female,51,78.76,Tech,Yes
736,Female,18,76.86,Sales,Yes
754,Female,34,72.92,Tech,Yes
761,Female,57,68.11,Tech,No
795,Female,20,75.33,Tech,Yes
822,Female,26,87.82,Tech,No
850,Female,37,47.91,Tech,No
896,Female,41,61.03,Tech,No
938,Female,23,84.38,HR,No
945,Female,45,80.25,Sales,Yes
973,Female,58,71.83,Finance,No
987,Female,18,76.25,Tech,Yes
995,Female,54,83.37,Sales,Yes
999,Female,43,65.97,Sales,Yes
870,Male,58,62.56,Tech,No
498,Male,49,65.31,Finance,No
360,Male,54,73.18,Tech,Yes
928,Male,28,73.76,HR,Yes
960,Male,39,80.62,Tech,No
267,Male,58,63.37,Tech,No
221,Male,30,71.38,Tech,Yes
344,Male,32,88.91,HR,Yes
90,Male,37,75.8,Tech,Yes
913,Male,29,71.75,Tech,Yes
599,Male,40,54.06,Tech,No
71,Male,55,88.35,Tech,No
224,Male,18,70.87,Tech,No
994,Male,25,83.73,Tech,No
605,Male,44,72.93,Tech,Yes
565,Male,29,82.29,HR,No
32,Male,41,65.5,Sales,Yes
483,Male,27,72.8,Tech,No
817,Male,58,80.15,Tech,No
944,Male,29,70.42,Tech,Yes
950,Male,54,89.63,Tech,No
124,Male,27,69.48,Tech,Yes
767,Male,29,68.94,Sales,No
352,Male,55,85.44,Tech,Yes
749,Male,38,76.34,Tech,No
25,Male,38,81.35,Sales,Yes
237,Male,41,75.1,Finance,No
507,Male,22,63.09,Tech,No
988,Male,58,75.68,Sales,No
74,Male,19,62.71,Finance,Yes
626,Male,29,68.7,Tech,Yes
111,Male,55,72.04,Tech,Yes
648,Male,47,88.92,Finance,No
169,Male,21,74.98,Tech,Yes
864,Male,26,72.32,Tech,No
737,Male,29,76.07,HR,Yes
325,Male,48,65.7,HR,Yes
63,Male,26,85.39,Tech,No
172,Male,50,71.2,HR,Yes
953,Male,47,72.09,HR,Yes
551,Male,55,86.45,Finance,Yes
41,Male,41,62.31,Sales,Yes
689,Male,51,82.2,Tech,No
676,Male,28,65.09,Sales,No
162,Male,40,78.53,Tech,Yes
983,Male,48,72.28,Tech,Yes
297,Male,30,73.16,Sales,Yes
140,Male,32,66.0,Tech,No
781,Male,56,75.94,Tech,Yes
692,Male,36,46.24,HR,Yes
922,Male,44,66.19,Tech,No
946,Male,25,92.55,HR,Yes
250,Male,34,85.28,Tech,No
305,Male,36,78.51,Sales,Yes
458,Male,43,80.47,Tech,Yes
545,Male,29,79.42,Tech,No
143,Male,21,55.39,Sales,No
733,Male,55,67.07,Sales,No
694,Male,37,83.48,Tech,Yes
80,Male,50,69.01,Tech,No
266,Male,53,77.07,Tech,No
241,Male,58,96.11,HR,Yes
787,Male,48,80.87,Sales,Yes
178,Male,33,87.8,Tech,Yes
272,Male,58,86.55,Tech,Yes
476,Male,26,97.39,Tech,Yes
67,Male,34,78.62,Sales,No
883,Male,45,81.15,Sales,Yes
572,Male,48,74.57,Tech,Yes
598,Male,54,60.72,Tech,Yes
825,Male,42,69.52,Tech,No
677,Male,59,68.3,Tech,Yes
662,Male,49,93.26,Finance,No
332,Male,26,74.32,Tech,No
716,Male,52,80.0,Finance,Yes
467,Male,48,76.55,Sales,No
92,Male,36,60.02,Tech,No
687,Male,55,78.51,Tech,Yes
214,Male,27,56.13,Tech,Yes
952,Male,29,85.39,Sales,Yes
551,Male,55,86.45,Finance,Yes
237,Male,41,75.1,Finance,No
662,Male,49,93.26,Finance,No
74,Male,19,62.71,Finance,Yes
551,Male,55,86.45,Finance,Yes
498,Male,49,65.31,Finance,No
551,Male,55,86.45,Finance,Yes
662,Male,49,93.26,Finance,No
74,Male,19,62.71,Finance,Yes
237,Male,41,75.1,Finance,No
662,Male,49,93.26,Finance,No
662,Male,49,93.26,Finance,No
498,Male,49,65.31,Finance,No
648,Male,47,88.92,Finance,No
74,Male,19,62.71,Finance,Yes
973,Female,58,71.83,Finance,No
662,Male,49,93.26,Finance,No
648,Male,47,88.92,Finance,No
973,Female,58,71.83,Finance,No
74,Male,19,62.71,Finance,Yes
488,Female,51,66.45,Finance,Yes
648,Male,47,88.92,Finance,No
716,Male,52,80.0,Finance,Yes
488,Female,51,66.45,Finance,Yes
498,Male,49,65.31,Finance,No
551,Male,55,86.45,Finance,Yes
237,Male,41,75.1,Finance,No
716,Male,52,80.0,Finance,Yes
498,Male,49,65.31,Finance,No
74,Male,19,62.71,Finance,Yes
498,Male,49,65.31,Finance,No
